序号,发布日期,发布时间（页面时区）,视频标题,视频链接,视频ID
306,2025-05-02,03:13:34-07:00,比特幣97000，強阻力！換手區+0.618！若回調，是機會！,https://www.youtube.com/watch?v=b5ru-tt4YOI,b5ru-tt4YOI
307,2025-05-01,02:53:08-07:00,BTC下個大動作？96000太多流動性！回踩再漲，還是直接向上？,https://www.youtube.com/watch?v=MIcaS5xuD4s,MIcaS5xuD4s
308,2025-04-29,11:35:19-07:00,BTC強勢盤整！未必回踩？底底高，向上突破？ETH也不錯！,https://www.youtube.com/watch?v=CeootydbflA,CeootydbflA
309,2025-04-28,12:24:49-07:00,BTC目標是新高？但可能回調！跌到哪？買入做多機會？,https://www.youtube.com/watch?v=FkjhLQvNxa8,FkjhLQvNxa8
310,2025-04-25,12:14:04-07:00,比特幣95000！不宜做空？還能繼續漲？多數人心急！,https://www.youtube.com/watch?v=9neuJWEDizY,9neuJWEDizY
311,2025-04-24,11:21:57-07:00,BTC還有得漲？做空別急！至少等到這……ETH也還行？,https://www.youtube.com/watch?v=knXtEp2f61s,knXtEp2f61s
312,2025-04-23,10:59:27-07:00,比特幣94000！再漲一點有強阻？ETH強勢出現？TRUMP有機會？,https://www.youtube.com/watch?v=r8hZwInZC3I,r8hZwInZC3I
313,2025-04-22,09:32:13-07:00,比特幣91000！突破前高，更高的高點！市場框架，徹底轉變！,https://www.youtube.com/watch?v=Bel-YipMTMY,Bel-YipMTMY
314,2025-04-21,09:29:57-07:00,BTC突破盤整！沒人賣，只能漲！黃金新高，比特幣跟上？,https://www.youtube.com/watch?v=C17DSWl6a6I,C17DSWl6a6I
315,2025-04-18,11:11:55-07:00,BTC失重狀態！不上不下，因為沒拋壓？流動性在哪？,https://www.youtube.com/watch?v=pXpRuApeAAQ,pXpRuApeAAQ
316,2025-04-15,12:21:15-07:00,BTC盤整蓄勢？早盤發生了假突破！跌到哪？,https://www.youtube.com/watch?v=Zxn8WSxDg00,Zxn8WSxDg00
317,2025-04-14,11:32:33-07:00,BTC周線強勢！反彈開始？滿月回踩做多？ETH呢？,https://www.youtube.com/watch?v=hkV0QAIUIQE,hkV0QAIUIQE
318,2025-04-11,08:41:57-07:00,BTC企穩反彈！再次向上突破？清晰的多空計劃！,https://www.youtube.com/watch?v=tf2gLrq1vkI,tf2gLrq1vkI
319,2025-04-10,09:40:47-07:00,BTC暴拉後回踩！這車能上不？XX這一帶能撐住！？,https://www.youtube.com/watch?v=SdXt8dMEgX0,SdXt8dMEgX0
320,2025-04-09,11:00:06-07:00,BTC觸底反彈？再大利空，也跌無可跌？上漲在即！？,https://www.youtube.com/watch?v=MisdnWoyuU8,MisdnWoyuU8
321,2025-04-08,10:29:49-07:00,巨量！BTC底部信號？小心再加中國關稅！,https://www.youtube.com/watch?v=kE2C0qkH5PE,kE2C0qkH5PE
322,2025-04-07,10:44:58-07:00,全球貿易戰！BTC跌下80000！反彈無望！？ETH跌到1500！,https://www.youtube.com/watch?v=unWIqwVTfT8,unWIqwVTfT8
323,2025-04-04,12:20:33-07:00,美股暴崩！BTC不跌反漲？跌不動了？或遲早跟跌？多空計劃！,https://www.youtube.com/watch?v=NpLSJKZGans,NpLSJKZGans
324,2025-04-03,08:40:11-07:00,比特幣假突破！只因川普加關稅？全球化結束！調轉方向！,https://www.youtube.com/watch?v=Y-dqOr4vb7k,Y-dqOr4vb7k
325,2025-04-02,08:36:00-07:00,BTC突破！下降趨勢線，臨近突破！春天來了？別跌回！,https://www.youtube.com/watch?v=kPCmDusGbvs,kPCmDusGbvs
326,2025-04-01,09:18:09-07:00,BTC觸底反彈？0.618得到支撐！ETH先突破趨勢線？,https://www.youtube.com/watch?v=s70bZf7spQw,s70bZf7spQw
327,2025-03-31,09:04:02-07:00,BTC跌到82000！回踩0.618！向上突破趨勢線？,https://www.youtube.com/watch?v=kUeYe72gGGk,kUeYe72gGGk
328,2025-03-28,12:18:36-07:00,BTC趨勢線壓制！跌下83K！回踩一下，下次再來？,https://www.youtube.com/watch?v=6ahMbq5LCpE,6ahMbq5LCpE
329,2025-03-27,09:55:29-07:00,BTC形態清晰！早盤假跌破，收回牛旗待突破？！ETH、TSLA分析！,https://www.youtube.com/watch?v=1324KMnsd9Y,1324KMnsd9Y
330,2025-03-26,09:32:38-07:00,BTC蓄勢待發？趨勢線等待突破！ETH受阻了？,https://www.youtube.com/watch?v=SqJp8r7qUMY,SqJp8r7qUMY
331,2025-03-25,09:20:44-07:00,BTC蓄力突破！趨勢線附近有機會！ETH若站回或暴漲！,https://www.youtube.com/watch?v=n7x882piJc4,n7x882piJc4
332,2025-03-24,08:41:00-07:00,BTC站回85K！即將突破下降趨勢線？ETH一樣有機會！,https://www.youtube.com/watch?v=EXw0NvQsry8,EXw0NvQsry8
333,2025-03-21,11:05:11-07:00,BTC跌回！突破失敗？小心空頭陷阱！ETH還有希望？,https://www.youtube.com/watch?v=4JNhvwJOlTM,4JNhvwJOlTM
334,2025-03-20,09:36:14-07:00,BTC回踩？小心假突破！ETH還能行嗎？$TRUMP呢？,https://www.youtube.com/watch?v=80kuJjI8Vnk,80kuJjI8Vnk
335,2025-03-19,09:45:49-07:00,BTC減息日利好？再戰85150！ETH重回1988，領漲？,https://www.youtube.com/watch?v=2GI2Bu_xM78,2GI2Bu_xM78
336,2025-03-18,09:04:21-07:00,BTC待漲？負費率密集出現！回踩0.618/0.66？值得期待！,https://www.youtube.com/watch?v=S3mk5SA-sN4,S3mk5SA-sN4
337,2025-03-17,09:15:08-07:00,BTC滿月看漲？85K受阻！資金費為負，下跌就買入？ETH等1988！,https://www.youtube.com/watch?v=hB-IZIfAZrg,hB-IZIfAZrg
338,2025-03-14,08:48:06-07:00,BTC重回85000！確認反彈？不可跌回！ETH只要站上1988……,https://www.youtube.com/watch?v=dJUAwMjsVgA,dJUAwMjsVgA
339,2025-03-13,08:52:53-07:00,BTC回踩！做多機會？跌到XX再看！ETH沒戲？總統買幣安？,https://www.youtube.com/watch?v=CZGO1HCjUgk,CZGO1HCjUgk
340,2025-03-12,08:19:38-07:00,比特幣3·12暴跌？早盤獵殺止損！看漲吞沒還有效嗎？,https://www.youtube.com/watch?v=y3c5ucE8CJ0,y3c5ucE8CJ0
341,2025-03-11,10:31:02-07:00,比特幣76K缺口補上了！破底反彈，看漲吞沒？美股繼續跌，BTC跌不動了？,https://www.youtube.com/watch?v=cAogc5dg69Y,cAogc5dg69Y
342,2025-03-10,10:31:01-07:00,美股崩盤，BTC跌破80000！繼續跌？ETH跌下2000！,https://www.youtube.com/watch?v=noEgfvwckSE,noEgfvwckSE
343,2025-03-07,07:38:52-08:00,美國囤幣！真利好？BTC和ETH先跌後漲，謹慎做多？,https://www.youtube.com/watch?v=MZgoSU7Y0W8,MZgoSU7Y0W8
344,2025-03-06,12:35:12-08:00,美股崩潰！BTC相對強勢！若跌下來，還能買嗎？ETH走強？,https://www.youtube.com/watch?v=Lgonf9O-kKE,Lgonf9O-kKE
345,2025-03-05,10:16:55-08:00,BTC重回90000！反彈95000？ETH值得一試？TRUMP還不行？,https://www.youtube.com/watch?v=9psA3S0xcjs,9psA3S0xcjs
346,2025-03-04,10:39:07-08:00,BTC極大波動！85150仍是參考！ETH總算跌破！,https://www.youtube.com/watch?v=fNzZbY9z8ac,fNzZbY9z8ac
347,2025-03-03,09:04:25-08:00,比特幣暴拉95K！美國儲備BTC！繼續漲？在哪上車？,https://www.youtube.com/watch?v=bHF65uFSCeA,bHF65uFSCeA
348,2025-02-28,09:54:18-08:00,比特幣78K絕地反彈！關鍵是：85K能否站上去？ETH跌到位了嗎？,https://www.youtube.com/watch?v=C0hFsk4DuZY,C0hFsk4DuZY
349,2025-02-27,11:00:33-08:00,BTC最低82000！跌到位了嗎？何時反彈？ETH下2000？,https://www.youtube.com/watch?v=4lXpF7hFIgQ,4lXpF7hFIgQ
350,2025-02-26,08:58:00-08:00,BTC跌到85150？收回89100？兩個做多位置！ETH類似！,https://www.youtube.com/watch?v=JNzOBcApX8Y,JNzOBcApX8Y
351,2025-02-25,10:59:53-08:00,比特幣跌破90000！接下來去哪？做多？！ETH跌到一千多？,https://www.youtube.com/watch?v=agSSC-xk-_c,agSSC-xk-_c
352,2025-02-24,16:03:44-08:00,BTC急跌！利空發酵？美股連帶？兩個地方等反彈！$TRUMP吸籌？,https://www.youtube.com/watch?v=ST85z5FEeTE,ST85z5FEeTE
353,2025-02-21,10:00:10-08:00,Bybit被盜14億ETH！比特幣假突破！跌回是做空信號？,https://www.youtube.com/watch?v=-TsG98gP6OQ,-TsG98gP6OQ
354,2025-02-20,07:54:52-08:00,BTC臨近趨勢線！即將突破？橫盤夠久，上漲夠高！,https://www.youtube.com/watch?v=EPYdXXsUW2Q,EPYdXXsUW2Q
355,2025-02-19,08:16:01-08:00,BTC前低收回！唯一交易機會是？我對eth的看法……,https://www.youtube.com/watch?v=u2kK5IE2aCA,u2kK5IE2aCA
356,2025-02-18,09:23:02-08:00,BTC跌出盤整區？$Trump跌回！主力吸籌跡象？,https://www.youtube.com/watch?v=iUPLF2h7s_0,iUPLF2h7s_0
357,2025-02-17,09:11:40-08:00,BTC波動去哪了？沒有交易，除非走出盤整區！,https://www.youtube.com/watch?v=tIGp5_qYNNM,tIGp5_qYNNM
358,2025-02-14,08:24:14-08:00,BTC盤整，但$TRUMP暴漲30%！熱度又來？上車？！,https://www.youtube.com/watch?v=0kSEbYX4hLk,0kSEbYX4hLk
359,2025-02-13,09:05:23-08:00,BTC謎團纏繞！千頭萬緒，走不出來！ETH假突破？空它？！,https://www.youtube.com/watch?v=UrHaihYluqE,UrHaihYluqE
360,2025-02-12,07:49:22-08:00,BTC一直盤整！了無頭緒？目前最好的策略是？,https://www.youtube.com/watch?v=FqVcYUrYWQ0,FqVcYUrYWQ0
361,2025-02-11,08:05:01-08:00,BTC盤整更久？仍有下跌空間？不上不下，要小心！,https://www.youtube.com/watch?v=PqbpptSmfDQ,PqbpptSmfDQ
362,2025-02-10,08:21:55-08:00,BTC縮量盤整！蓄勢上漲？只一個交易計劃！,https://www.youtube.com/watch?v=YAF4KU1YRiI,YAF4KU1YRiI
363,2025-02-07,07:28:51-08:00,BTC如期反彈！重回十萬！這次漲到哪？回踩多少上車？！,https://www.youtube.com/watch?v=rp9tZshGOJQ,rp9tZshGOJQ
364,2025-02-06,08:24:00-08:00,BTC反彈無力！還得跌一下？識別假突破！,https://www.youtube.com/watch?v=Stpgbr2mqOc,Stpgbr2mqOc
365,2025-02-05,07:52:55-08:00,BTC跌到位了嗎？如果來這會更好！$TRUMP，等待吸籌區？,https://www.youtube.com/watch?v=C4Bvek7Lwes,C4Bvek7Lwes
366,2025-02-04,09:30:48-08:00,BTC巨量買盤，一天一萬！漲勢繼續？ETH呢？,https://www.youtube.com/watch?v=x1-YPpRS-Sk,x1-YPpRS-Sk
367,2025-02-03,09:11:04-08:00,BTC大暴跌！一次洗盤，20億爆倉！完全走壞？趨勢還在嗎？,https://www.youtube.com/watch?v=_pXoDekir5Q,_pXoDekir5Q
368,2025-01-31,08:38:06-08:00,BTC繼續漲？ETH悄悄突破！真突破？假突破？,https://www.youtube.com/watch?v=TkqlT69U0dw,TkqlT69U0dw
369,2025-01-30,08:09:09-08:00,BTC突破！前方目標是？去11萬嗎？ETH有機會！？,https://www.youtube.com/watch?v=AtX3s7zYTJk,AtX3s7zYTJk
370,2025-01-29,07:57:10-08:00,BTC蓄力中！盤口依然看漲？只需留意一條趨勢線！,https://www.youtube.com/watch?v=cfA8Ign0roM,cfA8Ign0roM
371,2025-01-28,08:25:43-08:00,BTC還去11萬？重回三角，相對強勢！繼續上漲？,https://www.youtube.com/watch?v=Q2e227GXpF0,Q2e227GXpF0
372,2025-01-27,08:03:44-08:00,BTC走出盤整！上下獵殺止損！上漲無望了？它收了回去……,https://www.youtube.com/watch?v=5dTm2Ajo7dU,5dTm2Ajo7dU
373,2025-01-24,08:20:44-08:00,BTC三角將突破！之後去哪？以太ETH蓄勢待發！,https://www.youtube.com/watch?v=oNTwKuZ8RFg,oNTwKuZ8RFg
374,2025-01-23,09:51:45-08:00,BTC盤整中看漲？突破11萬？現在怎麼做？ETH呢？,https://www.youtube.com/watch?v=1IC3K2H_rsU,1IC3K2H_rsU
375,2025-01-22,08:31:57-08:00,BTC區間盤整！向上或向下？蓄勢待發？ETH怎麼了！？,https://www.youtube.com/watch?v=saaUqoeKkZM,saaUqoeKkZM
376,2025-01-21,08:18:26-08:00,川普上任跌九千！見頂信號？做空？有不同看法！,https://www.youtube.com/watch?v=Qm1xSotbdCo,Qm1xSotbdCo
377,2025-01-20,08:29:15-08:00,BTC十一萬！新高！川普就職，利好出盡？Trump幣，買？,https://www.youtube.com/watch?v=eLwQeWk68wY,eLwQeWk68wY
378,2025-01-17,08:27:21-08:00,比特幣105000！最好的做多交易！川普上台創新高？ETH跟漲？,https://www.youtube.com/watch?v=rvHmXvPVRvM,rvHmXvPVRvM
379,2025-01-16,09:35:44-08:00,BTC再上十萬！突破中！目標漲到哪？ETH待突破，XRP式暴漲？,https://www.youtube.com/watch?v=_oIWE2AiTOo,_oIWE2AiTOo
380,2025-01-15,08:46:17-08:00,BTC漲回99000！再測十萬？臨近趨勢線！受阻怎麼辦？ETH呢,https://www.youtube.com/watch?v=sz78hNrk6Vg,sz78hNrk6Vg
381,2025-01-14,07:44:27-08:00,BTC漲八千！昨天89000，今天97000！繼續漲？ETH重回3000！,https://www.youtube.com/watch?v=OB1WJoO66-c,OB1WJoO66-c
382,2025-01-13,08:22:29-08:00,比特幣89000！超跌反彈？ETH跌下3000，補缺口？,https://www.youtube.com/watch?v=xH-rlW-DHyQ,xH-rlW-DHyQ
383,2025-01-10,07:32:32-08:00,BTC期貨反彈！可能跌更低？去89000嗎？,https://www.youtube.com/watch?v=4tI9GKMQzXw,4tI9GKMQzXw
384,2025-01-09,06:51:57-08:00,BTC跌勢不止！跌去89K？反彈嗎？！ETH下3000？加州火勢不止！,https://www.youtube.com/watch?v=YFKsKq6m-w0,YFKsKq6m-w0
385,2025-01-08,07:58:43-08:00,BTC跌至94K！毫無反彈跡象？有人追空嗎？,https://www.youtube.com/watch?v=-N-dPCUcEKc,-N-dPCUcEKc
386,2025-01-07,09:30:03-08:00,BTC偷跑！跌下十萬！有人偷跑？ETH假突破？！,https://www.youtube.com/watch?v=Kq8WlMu6UkE,Kq8WlMu6UkE
387,2025-01-06,08:58:08-08:00,比特幣103000！馬上新高？ETH突破！山寨機會！,https://www.youtube.com/watch?v=409RMJD6TJw,409RMJD6TJw
388,2025-01-03,08:03:53-08:00,BTC上98000？ETH杯柄突破！山寨季？機會滿天飛！,https://www.youtube.com/watch?v=9sjhHVFYP3c,9sjhHVFYP3c
389,2025-01-02,08:32:08-08:00,BTC如期反彈！報復性做空？10萬大賣單？前高小心！,https://www.youtube.com/watch?v=eW4OIk3KVhc,eW4OIk3KVhc
390,2025-01-01,07:19:52-08:00,BTC仍反彈！為什麼跌到這？要漲去哪？2025不一樣！,https://www.youtube.com/watch?v=z4uh3DhCRFc,z4uh3DhCRFc
391,2024-12-31,06:59:09-08:00,BTC反彈96000！畫門回踩，依然做多？還能上車嗎？！,https://www.youtube.com/watch?v=EW7l38GlPV8,EW7l38GlPV8
392,2024-12-30,08:47:42-08:00,BTC跌到91K！不跌破，無反彈？若這樣，就做多！ETH呢？,https://www.youtube.com/watch?v=hXlvI6ISR80,hXlvI6ISR80
393,2024-12-27,08:07:33-08:00,BTC急跌93000！恐慌拋售？真要去更低？不宜追空！,https://www.youtube.com/watch?v=yfKdjki7w-A,yfKdjki7w-A
394,2024-12-26,09:05:55-08:00,BTC假突破，回踩95000！上漲趨勢還在嗎？ETH留意3550！,https://www.youtube.com/watch?v=sRRBs5jsF-M,sRRBs5jsF-M
395,2024-12-25,08:14:33-08:00,BTC反彈中！上車機會是？ETH類似走勢！聖誕快樂，朋友們！,https://www.youtube.com/watch?v=Fgj6LWY7Tg8,Fgj6LWY7Tg8
396,2024-12-24,07:41:00-08:00,BTC漲七千！重回99000！空頭擠破頭，只能漲！接下來……,https://www.youtube.com/watch?v=16gG_C7TWj8,16gG_C7TWj8
397,2024-12-23,10:00:05-08:00,比特幣92000！聖誕行情是下跌？做空？ETH下3000？,https://www.youtube.com/watch?v=81lFazcicY4,81lFazcicY4
398,2024-12-20,11:23:00-08:00,BTC下殺92000！卻收啟明星！跌到位了？ETH更低？片尾好消息！,https://www.youtube.com/watch?v=7acqwNqpCRI,7acqwNqpCRI
399,2024-12-19,18:23:55-08:00,BTC跌下95000！“牛市多急跌”，是說這種嗎？該不該慌？,https://www.youtube.com/watch?v=O7_CO01HJFU,O7_CO01HJFU
400,2024-12-18,12:49:39-08:00,BTC電梯式下跌！跌到哪？伸手抓的是機會？或是飛刀？！,https://www.youtube.com/watch?v=PugAR3QQbvw,PugAR3QQbvw
401,2024-12-17,11:23:15-08:00,BTC樓梯式上漲？殺止損是機會！ETH消化4000賣盤？山寨起漲！,https://www.youtube.com/watch?v=8ZRN9WYcOOQ,8ZRN9WYcOOQ
402,2024-12-16,11:26:27-08:00,比特幣108000！金叉出現，繼續漲？！若倒車接人，別怕！,https://www.youtube.com/watch?v=X67IC2T151A,X67IC2T151A
403,2024-12-14,23:56:10-08:00,盤口一次看懂！近乎看人底牌的訂單流交易法！2025最新版！,https://www.youtube.com/watch?v=b14PRbV679E,b14PRbV679E
404,2024-12-13,11:12:07-08:00,BTC空頭陷阱？站上102000就繼續漲！ETH和小幣種，盤整一下？,https://www.youtube.com/watch?v=Mwbu20Qy-CA,Mwbu20Qy-CA
405,2024-12-12,10:58:39-08:00,BTC到了久等的價位！回調開始？ETH再測4000，適度止盈！,https://www.youtube.com/watch?v=hxIKFLEnZMo,hxIKFLEnZMo
406,2024-12-11,11:22:10-08:00,比特幣0.618撐住，再上十萬！繼續上次那樣漲？ETH和山寨呢？,https://www.youtube.com/watch?v=ON5OyiMRvcQ,ON5OyiMRvcQ
407,2024-12-10,12:04:32-08:00,BTC回踩0.618！能撐住就繼續漲！量子計算時代，比特幣歸零？市場恐懼！,https://www.youtube.com/watch?v=U_lYZK0TshM,U_lYZK0TshM
408,2024-12-09,11:35:27-08:00,比特幣十萬難再上？當年突破一萬時，似乎也這樣！ETH呢？,https://www.youtube.com/watch?v=gVe-Z8l5m20,gVe-Z8l5m20
409,2024-12-06,11:32:24-08:00,BTC回十萬！ETH上四千！危險解除？小幣種DYDX、TIA、REZ……,https://www.youtube.com/watch?v=Fk_RHZ0PbvI,Fk_RHZ0PbvI
410,2024-12-05,17:15:32-08:00,『緊急加更』BTC急跌15000！牛市的常規清槓桿？或頹勢初現？,https://www.youtube.com/watch?v=5WPsbXV3HRM,5WPsbXV3HRM
411,2024-12-05,10:33:58-08:00,比特幣10萬！大暴漲，你無法想象！不跌回10萬，ETH和小幣就跟上？,https://www.youtube.com/watch?v=ba0rN1g9HTY,ba0rN1g9HTY
412,2024-12-04,11:32:46-08:00,山寨暴漲，BTC回調？還早！以太ETH目標臨近？山寨幣還能漲？！,https://www.youtube.com/watch?v=hF1ZCvJj83Y,hF1ZCvJj83Y
413,2024-12-03,10:49:08-08:00,BTC插針！反彈來了？以太ETH空中加油，繼續漲？山寨幣機會多！,https://www.youtube.com/watch?v=2p_0ZOBMBHM,2p_0ZOBMBHM
414,2024-12-02,10:55:49-08:00,BTC縮量怕不怕?！給山寨機會？eth/xrp/ada，抓突破很簡單！,https://www.youtube.com/watch?v=C19hcghG3FQ,C19hcghG3FQ
415,2024-11-29,10:10:55-08:00,BTC這次去10萬？依然有賣單！這些山寨會翻倍？ADA、DOGE追不追？,https://www.youtube.com/watch?v=oT37NkgAEYM,oT37NkgAEYM
416,2024-11-28,10:47:02-08:00,比特幣97K受阻！多頭止盈，做空嗎？我等這裡！,https://www.youtube.com/watch?v=pY0k3UFanFs,pY0k3UFanFs
417,2024-11-27,10:05:02-08:00,BTC反彈97000！ETH暴漲！死貓跳？或新高？這些山寨幣沒走壞：DYDX/CRV/REZ/WLD……,https://www.youtube.com/watch?v=2cNqAB09u3w,2cNqAB09u3w
418,2024-11-26,11:21:27-08:00,BTC急跌91000！見頂了？多少有支撐？有反彈？！,https://www.youtube.com/watch?v=KuvTzEsU3Po,KuvTzEsU3Po
419,2024-11-25,10:59:13-08:00,BTC期貨已10萬！空頭死，漲勢止？資金池告急！開跌？,https://www.youtube.com/watch?v=XFbraTIh5t0,XFbraTIh5t0
420,2024-11-22,11:05:53-08:00,比特幣10萬在即！可能偷跑？XPR、ADA暴漲！山寨季？,https://www.youtube.com/watch?v=wZJcCo457KU,wZJcCo457KU
421,2024-11-21,11:38:12-08:00,比特幣98000！十萬前的狂歡！恐高了？何時賣？,https://www.youtube.com/watch?v=Y_wZ4sDlSTo,Y_wZ4sDlSTo
422,2024-11-20,10:21:34-08:00,比特幣94000！燃料充足，繼續漲！小心空頭陷阱！,https://www.youtube.com/watch?v=x9y0uEpmOns,x9y0uEpmOns
423,2024-11-19,10:16:33-08:00,BTC再新高！強趨勢中的看漲背離！不做空，除非……,https://www.youtube.com/watch?v=6S40edZ0WbM,6S40edZ0WbM
424,2024-11-18,10:51:01-08:00,BTC九萬徘徊！不少人做空，還漲嗎？漲到哪有危險？ETH呢？,https://www.youtube.com/watch?v=sMFfaXUmsUw,sMFfaXUmsUw
425,2024-11-15,11:03:23-08:00,BTC跌下90K！又背離了，盤後繼續漲？美股頹，以太頹！,https://www.youtube.com/watch?v=PsYx_Vx9-U4,PsYx_Vx9-U4
426,2024-11-14,10:43:58-08:00,比特幣93000！10萬有人偷跑？快到頂了嗎，這是第?浪!?,https://www.youtube.com/watch?v=o1QEncbSt-M,o1QEncbSt-M
427,2024-11-13,10:09:20-08:00,比特幣93000！能上十萬嗎？賣的人多嗎？ETH跟上！,https://www.youtube.com/watch?v=_giu24LmlzE,_giu24LmlzE
428,2024-11-12,10:39:12-08:00,比特幣90000！十萬還遠嗎？市場fomo起來了，快到頂了？,https://www.youtube.com/watch?v=2D-PKKEzFHM,2D-PKKEzFHM
429,2024-11-11,09:44:34-08:00,比特幣85000！空頭還有嗎？Doge和Shib套路！,https://www.youtube.com/watch?v=_A5HiQfx0o4,_A5HiQfx0o4
430,2024-11-08,10:29:40-08:00,BTC勢頭強！美股上6000，ETH也復活！漲到多少？,https://www.youtube.com/watch?v=P8fb7UjatNA,P8fb7UjatNA
431,2024-11-07,10:12:59-08:00,比特幣76000！天高任鳥飛？ETH重回2800，強勢機會！,https://www.youtube.com/watch?v=i4CYQMJombE,i4CYQMJombE
432,2024-11-06,10:42:48-08:00,BTC新高75000！美股狂漲，一致看好！川普利好，持續多久？,https://www.youtube.com/watch?v=namfgcagrow,namfgcagrow
433,2024-11-05,10:37:15-08:00,BTC強波動！選舉日的多空爭奪！誰贏，利好比特幣？,https://www.youtube.com/watch?v=PQwgMS5Y2Lo,PQwgMS5Y2Lo
434,2024-11-04,09:53:13-08:00,比特幣跌回69000！假突破確認？問題大了！,https://www.youtube.com/watch?v=HpBTuvv3lSs,HpBTuvv3lSs
435,2024-11-01,10:48:04-07:00,BTC最好撐住！回踩趨勢線，上車？跌回就危險了！,https://www.youtube.com/watch?v=jWZVZObxqaw,jWZVZObxqaw
436,2024-10-31,10:09:53-07:00,BTC突破後回踩？70000能撐住？！上車機會？,https://www.youtube.com/watch?v=11eyDvhsnKw,11eyDvhsnKw
437,2024-10-30,07:57:09-07:00,BTC最高效定投！結合資金費率，100%勝率！,https://www.youtube.com/watch?v=San2WMM-e8Y,San2WMM-e8Y
438,2024-10-29,10:06:14-07:00,BTC突破！盤了一年，今日突破！去74000新高？,https://www.youtube.com/watch?v=rf-0i1aJ71g,rf-0i1aJ71g
439,2024-10-28,10:27:28-07:00,BTC蓄勢待發！強勢周線，70000突破一下？,https://www.youtube.com/watch?v=gZme5TuyLew,gZme5TuyLew
440,2024-10-25,10:59:43-07:00,BTC多空爭奪！難漲，難跌，到底去哪？ETH也在等……,https://www.youtube.com/watch?v=uwzxNj8vJEM,uwzxNj8vJEM
441,2024-10-24,10:16:34-07:00,BTC回抽68K！殺空頭止損，再下跌？ETH更頹！！,https://www.youtube.com/watch?v=1pLCoz1iocw,1pLCoz1iocw
442,2024-10-23,10:10:33-07:00,BTC跌回！下跌A浪？反彈做空？ETH假突破！,https://www.youtube.com/watch?v=pNxKto6ladI,pNxKto6ladI
443,2024-10-22,09:25:14-07:00,BTC看跌吞沒？！沖高受阻，頹勢初現？70000更多人要賣？,https://www.youtube.com/watch?v=JEoSJKT0mIg,JEoSJKT0mIg
444,2024-10-21,09:39:52-07:00,BTC突破受阻！掉頭向下！風向改變？,https://www.youtube.com/watch?v=caAciwF-_Hg,caAciwF-_Hg
445,2024-10-18,10:17:45-07:00,比特幣68800！強力突破？$70000是關鍵！,https://www.youtube.com/watch?v=1kp8XtYEdzo,1kp8XtYEdzo
446,2024-10-17,11:03:42-07:00,BTC67K！蓄勢突破？或掉頭向下？七萬有人掛單……,https://www.youtube.com/watch?v=lHoz0uPWufs,lHoz0uPWufs
447,2024-10-16,10:15:30-07:00,BTC即將74000？蓄勢中！真假突破，都是機會！,https://www.youtube.com/watch?v=8NaUuBvIoUQ,8NaUuBvIoUQ
448,2024-10-15,10:54:05-07:00,比特幣67000！突破去74000？折回去47000？關鍵！,https://www.youtube.com/watch?v=CtAsY1EFz4E,CtAsY1EFz4E
449,2024-10-14,10:12:13-07:00,比特幣66K！鯊魚反轉？蓄力已久的突破？,https://www.youtube.com/watch?v=Q1k9Fpe_NxQ,Q1k9Fpe_NxQ
450,2024-10-11,10:08:26-07:00,BTC反轉！跌破收回，鯊魚形態？漲到1.13？,https://www.youtube.com/watch?v=HIVdjNYFm8I,HIVdjNYFm8I
451,2024-10-10,10:37:45-07:00,BTC強勢不再！或許去更低，反彈做空？,https://www.youtube.com/watch?v=oLstXQIeAQg,oLstXQIeAQg
452,2024-10-09,10:59:10-07:00,BTC強勢全無！波動減少，流動性去中國股市了？,https://www.youtube.com/watch?v=yjCbwlyEaN4,yjCbwlyEaN4
453,2024-10-08,10:37:04-07:00,BTC反彈無力！漲不上去？失敗的AMD！,https://www.youtube.com/watch?v=J8Pb40ZpR9w,J8Pb40ZpR9w
454,2024-10-07,10:46:25-07:00,比特幣64K！強勢站回，漲到哪？70K最關鍵！,https://www.youtube.com/watch?v=sC1ooXDwEHM,sC1ooXDwEHM
455,2024-10-04,10:02:49-07:00,BTC一旦站回，就有機會！62500是關鍵⋯⋯,https://www.youtube.com/watch?v=JFrXNH3UJys,JFrXNH3UJys
456,2024-10-03,10:04:33-07:00,BTC六萬測試！能否收回62300？反彈結束了？,https://www.youtube.com/watch?v=Kscfs5_KxOA,Kscfs5_KxOA
457,2024-10-02,10:34:52-07:00,BTC頹勢出現？有誘空可能！留心62300！,https://www.youtube.com/watch?v=-hvRbUuOy2I,-hvRbUuOy2I
458,2024-10-01,10:40:30-07:00,BTC沖高回落！能再漲不？看這些低點⋯⋯,https://www.youtube.com/watch?v=jlnn6RdTmKo,jlnn6RdTmKo
459,2024-09-27,10:33:57-07:00,BTC再破66000！N字對稱去68000？小心七萬！,https://www.youtube.com/watch?v=USIfyCe05dM,USIfyCe05dM
460,2024-09-26,10:05:21-07:00,BTC突破65000！下一站是？別小瞧ETH⋯⋯,https://www.youtube.com/watch?v=pmPsYtmrpy0,pmPsYtmrpy0
461,2024-09-25,10:09:26-07:00,比特幣上65000？去打空頭止損！看，現貨掛單！,https://www.youtube.com/watch?v=nUqe4VIGwtY,nUqe4VIGwtY
462,2024-09-24,10:20:36-07:00,BTC資金費又負了！阻力位盤整，樂觀？！,https://www.youtube.com/watch?v=pX3i9936LGM,pX3i9936LGM
